Iteration 1, loss = 2.24646557
Iteration 2, loss = 0.31694333
Iteration 3, loss = 0.28077859
Iteration 4, loss = 0.26546311
Iteration 5, loss = 0.25673105
Iteration 6, loss = 0.25249303
Iteration 7, loss = 0.24859611
Iteration 8, loss = 0.24556420
Iteration 9, loss = 0.24179662
Iteration 10, loss = 0.23675214
Iteration 11, loss = 0.23575572
Iteration 12, loss = 0.23187171
Iteration 13, loss = 0.23068332
Iteration 14, loss = 0.22903464
Iteration 15, loss = 0.22686141
Iteration 16, loss = 0.22531364
Iteration 17, loss = 0.22316513
Iteration 18, loss = 0.22101661
Iteration 19, loss = 0.22099742
Iteration 20, loss = 0.21853651
Iteration 21, loss = 0.21916200
Iteration 22, loss = 0.21813866
Iteration 23, loss = 0.21649127
Iteration 24, loss = 0.21501482
Iteration 25, loss = 0.21403897
Iteration 26, loss = 0.21473678
Iteration 27, loss = 0.21383172
Iteration 28, loss = 0.21167062
Iteration 29, loss = 0.20963400
Iteration 30, loss = 0.20995864
Iteration 31, loss = 0.20829288
Iteration 32, loss = 0.20957025
Iteration 33, loss = 0.20786560
Iteration 34, loss = 0.20657421
Iteration 35, loss = 0.20727853
Iteration 36, loss = 0.20527916
Iteration 37, loss = 0.20726563
Iteration 38, loss = 0.20434555
Iteration 39, loss = 0.20439995
Iteration 40, loss = 0.20312300
Iteration 41, loss = 0.20256040
Iteration 42, loss = 0.20252900
Iteration 43, loss = 0.20220712
Iteration 44, loss = 0.20137423
Iteration 45, loss = 0.20066046
Iteration 46, loss = 0.20406903
Iteration 47, loss = 0.20082603
Iteration 48, loss = 0.19996949
Iteration 49, loss = 0.19986787
Iteration 50, loss = 0.20030659
Iteration 51, loss = 0.19942185
Iteration 52, loss = 0.19819384
Iteration 53, loss = 0.20048710
Iteration 54, loss = 0.19757949
Iteration 55, loss = 0.19839633
Iteration 56, loss = 0.19806477
Iteration 57, loss = 0.19759839
Iteration 58, loss = 0.19517173
Iteration 59, loss = 0.19727696
Iteration 60, loss = 0.19530392
Iteration 61, loss = 0.19520935
Iteration 62, loss = 0.19407563
Iteration 63, loss = 0.19564176
Iteration 64, loss = 0.19420277
Iteration 65, loss = 0.19520080
Iteration 66, loss = 0.19298109
Iteration 67, loss = 0.19319064
Iteration 68, loss = 0.19290717
Iteration 69, loss = 0.19321384
Iteration 70, loss = 0.19310632
Iteration 71, loss = 0.19282066
Iteration 72, loss = 0.19166629
Iteration 73, loss = 0.19425331
Iteration 74, loss = 0.19044061
Iteration 75, loss = 0.19172457
Iteration 76, loss = 0.19370265
Iteration 77, loss = 0.19065654
Iteration 78, loss = 0.18994496
Iteration 79, loss = 0.19439154
Iteration 80, loss = 0.19058024
Iteration 81, loss = 0.18893386
Iteration 82, loss = 0.19171318
Iteration 83, loss = 0.19062588
Iteration 84, loss = 0.18988353
Iteration 85, loss = 0.19081045
Iteration 86, loss = 0.19088681
Iteration 87, loss = 0.19054963
Iteration 88, loss = 0.18997995
Iteration 89, loss = 0.18821501
Iteration 90, loss = 0.19130713
Iteration 91, loss = 0.18958111
Iteration 92, loss = 0.19028250
Iteration 93, loss = 0.18997403
Iteration 94, loss = 0.18958312
Iteration 95, loss = 0.19117443
Iteration 96, loss = 0.18910811
Iteration 97, loss = 0.18947505
Iteration 98, loss = 0.18845149
Iteration 99, loss = 0.18902804
Iteration 100, loss = 0.18857759
